(the visible edge) Limb_darkening.txt 1
(the line of) Limb_darkening.txt 1
(an opportunity to) Limb_darkening.txt 1
(e.g for the) Limb_darkening.txt 1
(edit an idealized) Limb_darkening.txt 1
(spectrally integrated intensity) Limb_darkening.txt 1
(is infinite at) Limb_darkening.txt 1
(this assumption must) Limb_darkening.txt 1
(of by using) Limb_darkening.txt 1
(proportional to the) Limb_darkening.txt 1
(for the ratio) Limb_darkening.txt 1
(center of the) Limb_darkening.txt 3
(is sometimes more) Limb_darkening.txt 1
(the low-temperature photons) Limb_darkening.txt 1
(at the centre) Limb_darkening.txt 2
(models with such) Limb_darkening.txt 1
(the star from) Limb_darkening.txt 1
(the star as) Limb_darkening.txt 1
(n 1 coefficients) Limb_darkening.txt 1
(at the upper) Limb_darkening.txt 1
(and the integrals) Limb_darkening.txt 1
(derive an analytic) Limb_darkening.txt 1
(at which photons) Limb_darkening.txt 1
(the temperature stefanboltzmann) Limb_darkening.txt 1
(a temperature minimum) Limb_darkening.txt 1
(escape from the) Limb_darkening.txt 1
(existence of a) Limb_darkening.txt 2
(intensity the mean) Limb_darkening.txt 1
(limb darkening is) Limb_darkening.txt 4
(hundred km crucial) Limb_darkening.txt 1
(the lower atmosphere) Limb_darkening.txt 1
(the edge of) Limb_darkening.txt 2
(of increasing temperature) Limb_darkening.txt 1
(can escape this) Limb_darkening.txt 1
(the disk we) Limb_darkening.txt 1
(center because the) Limb_darkening.txt 1
(that for a) Limb_darkening.txt 1
(darkening is the) Limb_darkening.txt 1
(fail most obviously) Limb_darkening.txt 1
(of a star) Limb_darkening.txt 3
(star is centered) Limb_darkening.txt 1
(decreasing for an) Limb_darkening.txt 1
(temperature minimum region) Limb_darkening.txt 1
(understanding offered early) Limb_darkening.txt 1
(hydrostatic equilibrium and) Limb_darkening.txt 1
(outer boundary is) Limb_darkening.txt 1
(a solid angle) Limb_darkening.txt 1
(limb darkening wikipedia) Limb_darkening.txt 1
(the classical analysis) Limb_darkening.txt 1
(2 and 0) Limb_darkening.txt 1
(in fact the) Limb_darkening.txt 1
(looking at point) Limb_darkening.txt 1
(at an oblique) Limb_darkening.txt 1
(the a constants) Limb_darkening.txt 2
(corona for most) Limb_darkening.txt 1
(analytic expression for) Limb_darkening.txt 1
(brightening for the) Limb_darkening.txt 1
(angle in the) Limb_darkening.txt 1
(comes from the) Limb_darkening.txt 2
(see the phenomenon) Limb_darkening.txt 1
(polynomial in cos) Limb_darkening.txt 1
(particular if the) Limb_darkening.txt 1
(the sun in) Limb_darkening.txt 1
(of the suns) Limb_darkening.txt 1
(unity and that) Limb_darkening.txt 1
(limb darkening geometry) Limb_darkening.txt 1
(e photons can) Limb_darkening.txt 1
(this is what) Limb_darkening.txt 1
(when looking at) Limb_darkening.txt 1
(a star we) Limb_darkening.txt 1
(star divided by) Limb_darkening.txt 1
(and that point) Limb_darkening.txt 1
(line through the) Limb_darkening.txt 1
(at 550 nm) Limb_darkening.txt 3
(ratio of the) Limb_darkening.txt 1
(sun where the) Limb_darkening.txt 1
(star and is) Limb_darkening.txt 1
(optical depths that) Limb_darkening.txt 1
(on the surface) Limb_darkening.txt 1
(the spectrally integrated) Limb_darkening.txt 1
(most conveniently approximated) Limb_darkening.txt 1
(in order that) Limb_darkening.txt 1
(from the observer) Limb_darkening.txt 1
(be used to) Limb_darkening.txt 1
(of the temperature) Limb_darkening.txt 1
(move our line) Limb_darkening.txt 1
(analytically it is) Limb_darkening.txt 1
(few optical depths) Limb_darkening.txt 1
(if the intensity) Limb_darkening.txt 1
(outside the stellar) Limb_darkening.txt 1
(means that limb) Limb_darkening.txt 1
(with respect to) Limb_darkening.txt 1
(ratio be unity) Limb_darkening.txt 1
(the solid angle) Limb_darkening.txt 1
(radius and i) Limb_darkening.txt 1
(will be higher) Limb_darkening.txt 1
(structure the classical) Limb_darkening.txt 1
(have which gives) Limb_darkening.txt 1
(a region of) Limb_darkening.txt 1
(has n independent) Limb_darkening.txt 1
(replaced by so) Limb_darkening.txt 1
(optical depth and) Limb_darkening.txt 1
