(celestial bodies though) Penumbra.txt 1
(disc of the) Penumbra.txt 1
(a and penumbra) Penumbra.txt 1
(in which a) Penumbra.txt 1
(and images that) Penumbra.txt 1
(darkness such as) Penumbra.txt 1
(to the apex) Penumbra.txt 1
(because the earth) Penumbra.txt 1
(within the disc) Penumbra.txt 1
(source only the) Penumbra.txt 1
(closer to the) Penumbra.txt 1
(and antumbra of) Penumbra.txt 1
(umbral cone extends) Penumbra.txt 1
(the umbra of) Penumbra.txt 1
(umbra penumbra and) Penumbra.txt 4
(indicated by the) Penumbra.txt 1
(opaque object for) Penumbra.txt 1
(antumbra wikipedia redirected) Penumbra.txt 1
(of a round) Penumbra.txt 1
(sunspots contents umbra) Penumbra.txt 1
(shadow created by) Penumbra.txt 1
(edit the antumbra) Penumbra.txt 1
(edit umbra penumbra) Penumbra.txt 1
(umbra disambiguation and) Penumbra.txt 1
(for a point) Penumbra.txt 1
(the orbit of) Penumbra.txt 1
(earth and images) Penumbra.txt 1
(disambiguation and penumbra) Penumbra.txt 1
(references edit categories) Penumbra.txt 1
(for the shadows) Penumbra.txt 1
(a shadow where) Penumbra.txt 1
(apex the two) Penumbra.txt 1
(than the moon) Penumbra.txt 1
(moon to the) Penumbra.txt 1
(beyond the orbit) Penumbra.txt 1
(and antumbra are) Penumbra.txt 1
(are three distinct) Penumbra.txt 1
(experiences a total) Penumbra.txt 1
(a round body) Penumbra.txt 1
(light source is) Penumbra.txt 1
(occluding body appears) Penumbra.txt 1
(total eclipse the) Penumbra.txt 1
(used for the) Penumbra.txt 1
(diagram of earths) Penumbra.txt 1
(roughly 1.4 million) Penumbra.txt 1
(edit references edit) Penumbra.txt 1
(categories hidden categories) Penumbra.txt 1
(dark region at) Penumbra.txt 1
(uses see umbra) Penumbra.txt 1
(distance from the) Penumbra.txt 1
(from the moon) Penumbra.txt 1
(the light source) Penumbra.txt 3
(source an observer) Penumbra.txt 1
(scale diagram of) Penumbra.txt 1
(the moon to) Penumbra.txt 1
(the umbral cone) Penumbra.txt 1
(see penumbra disambiguation) Penumbra.txt 1
(sizes and distances) Penumbra.txt 1
(used to describe) Penumbra.txt 1
(eclipsing body if) Penumbra.txt 1
(at the cones) Penumbra.txt 1
(at the edges) Penumbra.txt 1
(scale umbra a) Penumbra.txt 1
(extends beyond the) Penumbra.txt 1
(is visible around) Penumbra.txt 1
(the apparent size) Penumbra.txt 1
(shadow is the) Penumbra.txt 1
(the disc of) Penumbra.txt 1
(from which the) Penumbra.txt 1
(observer in the) Penumbra.txt 1
(on an opaque) Penumbra.txt 1
(the moon its) Penumbra.txt 1
(is indicated by) Penumbra.txt 1
(cone extends beyond) Penumbra.txt 1
(innermost and darkest) Penumbra.txt 1
(dot antumbra edit) Penumbra.txt 1
(to describe levels) Penumbra.txt 1
(million kilometers penumbra) Penumbra.txt 1
(other uses see) Penumbra.txt 2
(region at the) Penumbra.txt 1
(body appears entirely) Penumbra.txt 1
(points in these) Penumbra.txt 1
(its umbra extends) Penumbra.txt 1
(of earths shadow) Penumbra.txt 1
(levels of darkness) Penumbra.txt 1
(yellow dot antumbra) Penumbra.txt 1
