(closer to the) Umbra.txt 1
(and antumbra of) Umbra.txt 1
(umbral cone extends) Umbra.txt 1
(the umbra of) Umbra.txt 1
(umbra penumbra and) Umbra.txt 4
(indicated by the) Umbra.txt 1
(opaque object for) Umbra.txt 1
(antumbra wikipedia redirected) Umbra.txt 1
(of a round) Umbra.txt 1
(sunspots contents umbra) Umbra.txt 1
(shadow created by) Umbra.txt 1
(edit the antumbra) Umbra.txt 1
(edit umbra penumbra) Umbra.txt 1
(umbra disambiguation and) Umbra.txt 1
(for a point) Umbra.txt 1
(the orbit of) Umbra.txt 1
(earth and images) Umbra.txt 1
(disambiguation and penumbra) Umbra.txt 1
(references edit categories) Umbra.txt 1
(for the shadows) Umbra.txt 1
(a shadow where) Umbra.txt 1
(apex the two) Umbra.txt 1
(than the moon) Umbra.txt 1
(moon to the) Umbra.txt 1
(beyond the orbit) Umbra.txt 1
(and antumbra are) Umbra.txt 1
(are three distinct) Umbra.txt 1
(experiences a total) Umbra.txt 1
(a round body) Umbra.txt 1
(light source is) Umbra.txt 1
(occluding body appears) Umbra.txt 1
(total eclipse the) Umbra.txt 1
(used for the) Umbra.txt 1
(diagram of earths) Umbra.txt 1
(roughly 1.4 million) Umbra.txt 1
(edit references edit) Umbra.txt 1
(categories hidden categories) Umbra.txt 1
(dark region at) Umbra.txt 1
(uses see umbra) Umbra.txt 1
(from the moon) Umbra.txt 1
(the light source) Umbra.txt 3
(source an observer) Umbra.txt 1
(scale diagram of) Umbra.txt 1
(the moon to) Umbra.txt 1
(the umbral cone) Umbra.txt 1
(see penumbra disambiguation) Umbra.txt 1
(sizes and distances) Umbra.txt 1
(used to describe) Umbra.txt 1
(eclipsing body if) Umbra.txt 1
(at the cones) Umbra.txt 1
(at the edges) Umbra.txt 1
(scale umbra a) Umbra.txt 1
(extends beyond the) Umbra.txt 1
(is visible around) Umbra.txt 1
(the apparent size) Umbra.txt 1
(shadow is the) Umbra.txt 1
(the disc of) Umbra.txt 1
(from which the) Umbra.txt 1
(observer in the) Umbra.txt 1
(on an opaque) Umbra.txt 1
(the moon its) Umbra.txt 1
(is indicated by) Umbra.txt 1
(cone extends beyond) Umbra.txt 1
(innermost and darkest) Umbra.txt 1
(dot antumbra edit) Umbra.txt 1
(to describe levels) Umbra.txt 1
(million kilometers penumbra) Umbra.txt 1
(other uses see) Umbra.txt 2
(region at the) Umbra.txt 1
