(based on it) Thales.txt 1
(socially and philosophically) Thales.txt 1
(brought something new) Thales.txt 1
(feat is three) Thales.txt 1
(and thought the) Thales.txt 1
(as an alliance) Thales.txt 1
(the areas and) Thales.txt 1
(babylonians dicks notes) Thales.txt 1
(term pre-socratic derives) Thales.txt 1
(water or through) Thales.txt 1
(attributed with the) Thales.txt 1
(for athletic ritual) Thales.txt 1
(picture of pre-socratic) Thales.txt 1
(a later age) Thales.txt 1
(where thales is) Thales.txt 1
(is quite a) Thales.txt 1
(of the stick) Thales.txt 1
(the end result) Thales.txt 1
(fellow greeks believe) Thales.txt 1
(from pregiven tradition) Thales.txt 1
(figure in greek) Thales.txt 1
(by herodotus must) Thales.txt 1
(also an extensive) Thales.txt 1
(his political career) Thales.txt 1
(alone explain all) Thales.txt 1
(was first discovered) Thales.txt 1
(this does not) Thales.txt 1
(the first to) Thales.txt 7
(the sages that) Thales.txt 1
(by the ancestral) Thales.txt 1
(shadows at the) Thales.txt 1
(oldest of all) Thales.txt 1
(person zeus they) Thales.txt 1
(in them comes) Thales.txt 1
(astrologer who fell) Thales.txt 1
(historical fabrication even) Thales.txt 1
(he advised the) Thales.txt 1
(in progress the) Thales.txt 1
(are equal though) Thales.txt 1
(first to hold) Thales.txt 1
(year some such) Thales.txt 1
(bought all the) Thales.txt 1
(makes use of) Thales.txt 1
(are often the) Thales.txt 1
(being the originator) Thales.txt 1
(physics which is) Thales.txt 1
(dicks also agrees) Thales.txt 1
(continuous tradition interpretations) Thales.txt 1
(diogenes lartius being) Thales.txt 1
(to herodotus and) Thales.txt 2
(because it does) Thales.txt 1
(thales of miletus) Thales.txt 2
(exactly known but) Thales.txt 1
(they talked about) Thales.txt 1
(profound thinkers and) Thales.txt 1
(of gods aristotle) Thales.txt 1
(all beings for) Thales.txt 1
(thales compares to) Thales.txt 1
(theorem main article) Thales.txt 2
(were writing from) Thales.txt 1
(made level with) Thales.txt 1
(qualities the arrival) Thales.txt 1
(the shell-fish of) Thales.txt 1
(berossus a babylonian) Thales.txt 1
(the authors in) Thales.txt 1
(as herodotus or) Thales.txt 1
(secondary source concerning) Thales.txt 1
(a blood oath) Thales.txt 1
(is believed to) Thales.txt 2
(of the universe) Thales.txt 1
(believed in the) Thales.txt 1
(of natural phenomena) Thales.txt 1
(famous philosophical position) Thales.txt 1
(had an effect) Thales.txt 1
(had predicted this) Thales.txt 1
(hylomorphism though once) Thales.txt 1
(with this dedication...thales) Thales.txt 1
(polos is unknown) Thales.txt 1
(a person and) Thales.txt 1
(for example john) Thales.txt 1
