QueryID Q0 DocumentID LuceneScore SystemName
6 Q0 Solar_eclipse_of_January_25,_1963.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_January_26,_1990.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_January_27,_2074.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_July_1,_2057.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_July_10,_1907.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_July_12,_2056.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_July_13,_2075.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_July_18,_1860.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_July_20,_1925.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_July_23,_2093.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_July_24,_2074.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_July_3,_2084.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_July_30,_1916.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_July_9,_1926.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_June_11,_2067.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_June_22,_2066.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_June_22,_2085.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_June_26,_1824.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_March_10,_2081.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_March_18,_1950.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_March_20,_2053.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_March_21,_2099.txt 0.11093575 ApacheLucene
6 Q0 Solar_eclipse_of_March_27,_1941.txt 0.11093575 ApacheLucene
