(light is) Focus_(optics).txt 1
(possible in) Focus_(optics).txt 1
(mirror will) Focus_(optics).txt 3
(categories hidden) Focus_(optics).txt 1
(light appears) Focus_(optics).txt 1
(mostly out) Focus_(optics).txt 1
(hidden categories) Focus_(optics).txt 1
(instead the) Focus_(optics).txt 1
(circle this) Focus_(optics).txt 1
(see accommodation) Focus_(optics).txt 1
(a convex) Focus_(optics).txt 3
(is conceptually) Focus_(optics).txt 1
(and convex) Focus_(optics).txt 1
(object converge) Focus_(optics).txt 1
(a cassegrain) Focus_(optics).txt 1
(is caused) Focus_(optics).txt 1
(emanating after) Focus_(optics).txt 1
(radiating from) Focus_(optics).txt 2
(much as) Focus_(optics).txt 1
(absence of) Focus_(optics).txt 1
(all light) Focus_(optics).txt 1
(region is) Focus_(optics).txt 1
(demonstration of) Focus_(optics).txt 1
(a collimated) Focus_(optics).txt 2
(circle of) Focus_(optics).txt 1
(convex elliptical) Focus_(optics).txt 1
(eye focus) Focus_(optics).txt 1
(get worse) Focus_(optics).txt 1
(aperture diameter) Focus_(optics).txt 1
(reflects from) Focus_(optics).txt 1
(image or) Focus_(optics).txt 1
(non-ideal focusing) Focus_(optics).txt 1
(reflect a) Focus_(optics).txt 1
(hyperbolic mirror) Focus_(optics).txt 1
(has a) Focus_(optics).txt 1
(mirror as) Focus_(optics).txt 2
(the imaging) Focus_(optics).txt 1
(a circle) Focus_(optics).txt 1
(image point) Focus_(optics).txt 2
(tend to) Focus_(optics).txt 1
(the other) Focus_(optics).txt 1
(where light) Focus_(optics).txt 1
(the border) Focus_(optics).txt 1
(well converged) Focus_(optics).txt 1
(of photography) Focus_(optics).txt 1
(the mirror) Focus_(optics).txt 6
(if they) Focus_(optics).txt 1
(the focal) Focus_(optics).txt 5
(almost as) Focus_(optics).txt 1
(is the) Focus_(optics).txt 3
(emanating from) Focus_(optics).txt 2
(is partially) Focus_(optics).txt 1
(degrees in) Focus_(optics).txt 1
(one focus) Focus_(optics).txt 1
(toward the) Focus_(optics).txt 1
(focus both) Focus_(optics).txt 1
(to make) Focus_(optics).txt 1
(border between) Focus_(optics).txt 1
(of confusion) Focus_(optics).txt 1
(the light) Focus_(optics).txt 1
(focus has) Focus_(optics).txt 1
(is not) Focus_(optics).txt 1
(both of) Focus_(optics).txt 1
(eye focusing) Focus_(optics).txt 1
(the point) Focus_(optics).txt 2
(is a) Focus_(optics).txt 1
(criterion a) Focus_(optics).txt 1
(beam to) Focus_(optics).txt 1
(the airy) Focus_(optics).txt 2
(beam of) Focus_(optics).txt 1
