unharmed Solar_eclipse_of_October_27,_1780.txt 1 129 
samuel Solar_eclipse_of_October_27,_1780.txt 1 161 
after Solar_eclipse_of_October_27,_1780.txt 1 133 
massachusetts Solar_eclipse_of_October_27,_1780.txt 1 113 
miscalculating Solar_eclipse_of_October_27,_1780.txt 1 164 
totally Solar_eclipse_of_October_27,_1780.txt 1 30 
moons Solar_eclipse_of_October_27,_1780.txt 1 51 
missed Solar_eclipse_of_October_27,_1780.txt 1 137 
a Solar_eclipse_of_October_27,_1780.txt 9 7 16 40 44 70 83 114 143 174 
analysis Solar_eclipse_of_October_27,_1780.txt 1 151 
allow Solar_eclipse_of_October_27,_1780.txt 1 124 
the Solar_eclipse_of_October_27,_1780.txt 15 21 27 34 37 50 57 77 94 98 121 125 130 138 146 165 
