africa Solar_eclipse_of_August_12,_1673.txt 2 101 117 
visible Solar_eclipse_of_August_12,_1673.txt 2 81 96 
congo Solar_eclipse_of_August_12,_1673.txt 1 301 
references Solar_eclipse_of_August_12,_1673.txt 1 438 
spanish Solar_eclipse_of_August_12,_1673.txt 1 279 
total Solar_eclipse_of_August_12,_1673.txt 2 8 45 
passes Solar_eclipse_of_August_12,_1673.txt 1 23 
madagascar Solar_eclipse_of_August_12,_1673.txt 2 309 311 
java Solar_eclipse_of_August_12,_1673.txt 1 139 
area Solar_eclipse_of_August_12,_1673.txt 2 367 426 
totally Solar_eclipse_of_August_12,_1673.txt 1 30 
sunlight Solar_eclipse_of_August_12,_1673.txt 1 62 
france Solar_eclipse_of_August_12,_1673.txt 1 371 
sumatra Solar_eclipse_of_August_12,_1673.txt 2 136 385 
totality Solar_eclipse_of_August_12,_1673.txt 1 67 
6 Solar_eclipse_of_August_12,_1673.txt 1 252 
basin Solar_eclipse_of_August_12,_1673.txt 1 302 
was Solar_eclipse_of_August_12,_1673.txt 4 95 156 166 421 
malawi Solar_eclipse_of_August_12,_1673.txt 1 303 
8590 Solar_eclipse_of_August_12,_1673.txt 1 344 
saloum Solar_eclipse_of_August_12,_1673.txt 1 199 
alps Solar_eclipse_of_August_12,_1673.txt 1 375 
partly Solar_eclipse_of_August_12,_1673.txt 1 32 
that Solar_eclipse_of_August_12,_1673.txt 4 175 272 357 430 
started Solar_eclipse_of_August_12,_1673.txt 1 393 
apparent Solar_eclipse_of_August_12,_1673.txt 1 52 
occurred Solar_eclipse_of_August_12,_1673.txt 2 11 220 
darfur Solar_eclipse_of_August_12,_1673.txt 1 205 
finished Solar_eclipse_of_August_12,_1673.txt 1 405 
part Solar_eclipse_of_August_12,_1673.txt 4 107 144 157 207 
atlantic Solar_eclipse_of_August_12,_1673.txt 1 148 
western Solar_eclipse_of_August_12,_1673.txt 1 138 
solar Solar_eclipse_of_August_12,_1673.txt 6 0 9 17 46 79 159 
obscuring Solar_eclipse_of_August_12,_1673.txt 1 33 
oman Solar_eclipse_of_August_12,_1673.txt 1 292 
with Solar_eclipse_of_August_12,_1673.txt 3 76 102 239 
than Solar_eclipse_of_August_12,_1673.txt 1 56 
present Solar_eclipse_of_August_12,_1673.txt 1 236 
wide Solar_eclipse_of_August_12,_1673.txt 1 89 
exception Solar_eclipse_of_August_12,_1673.txt 1 104 
12 Solar_eclipse_of_August_12,_1673.txt 2 4 14 
holland Solar_eclipse_of_August_12,_1673.txt 1 414 
showed Solar_eclipse_of_August_12,_1673.txt 4 256 273 313 329 
1:04 Solar_eclipse_of_August_12,_1673.txt 1 244 
songhai Solar_eclipse_of_August_12,_1673.txt 1 201 
local Solar_eclipse_of_August_12,_1673.txt 1 246 
eclipse Solar_eclipse_of_August_12,_1673.txt 9 1 10 18 47 80 94 255 364 392 
up Solar_eclipse_of_August_12,_1673.txt 2 257 274 
n Solar_eclipse_of_August_12,_1673.txt 1 223 
morocco Solar_eclipse_of_August_12,_1673.txt 1 283 
near Solar_eclipse_of_August_12,_1673.txt 2 226 291 
tunis Solar_eclipse_of_August_12,_1673.txt 1 286 
were Solar_eclipse_of_August_12,_1673.txt 2 176 358 
songhay Solar_eclipse_of_August_12,_1673.txt 1 203 
pm Solar_eclipse_of_August_12,_1673.txt 1 245 
minutes Solar_eclipse_of_August_12,_1673.txt 1 253 
and Solar_eclipse_of_August_12,_1673.txt 20 26 114 125 137 149 187 198 212 216 248 263 288 290 293 307 349 378 384 386 404 
larger Solar_eclipse_of_August_12,_1673.txt 1 55 
90100 Solar_eclipse_of_August_12,_1673.txt 1 179 
links Solar_eclipse_of_August_12,_1673.txt 1 441 
viewer Solar_eclipse_of_August_12,_1673.txt 1 41 
is Solar_eclipse_of_August_12,_1673.txt 3 54 110 210 
it Solar_eclipse_of_August_12,_1673.txt 4 155 172 312 328 
surface Solar_eclipse_of_August_12,_1673.txt 1 75 
archipelago Solar_eclipse_of_August_12,_1673.txt 1 355 
middle Solar_eclipse_of_August_12,_1673.txt 3 123 147 269 
as Solar_eclipse_of_August_12,_1673.txt 5 140 142 167 169 406 
rim Solar_eclipse_of_August_12,_1673.txt 1 361 
at Solar_eclipse_of_August_12,_1673.txt 6 221 241 394 415 422 427 
in Solar_eclipse_of_August_12,_1673.txt 15 69 97 189 230 261 265 267 316 323 326 335 342 345 352 424 
close Solar_eclipse_of_August_12,_1673.txt 1 388 
kenya Solar_eclipse_of_August_12,_1673.txt 1 240 
present-day Solar_eclipse_of_August_12,_1673.txt 2 298 304 
border Solar_eclipse_of_August_12,_1673.txt 1 238 
empire Solar_eclipse_of_August_12,_1673.txt 1 434 
contents Solar_eclipse_of_August_12,_1673.txt 1 90 
marking Solar_eclipse_of_August_12,_1673.txt 1 420 
4.6 Solar_eclipse_of_August_12,_1673.txt 1 222 
mysore Solar_eclipse_of_August_12,_1673.txt 2 130 383 
divided Solar_eclipse_of_August_12,_1673.txt 1 431 
umbral Solar_eclipse_of_August_12,_1673.txt 2 163 400 
when Solar_eclipse_of_August_12,_1673.txt 2 20 49 
off Solar_eclipse_of_August_12,_1673.txt 2 396 408 
40 Solar_eclipse_of_August_12,_1673.txt 2 259 315 
ethiopia Solar_eclipse_of_August_12,_1673.txt 2 217 231 
other Solar_eclipse_of_August_12,_1673.txt 2 126 296 
which Solar_eclipse_of_August_12,_1673.txt 1 165 
antarctica Solar_eclipse_of_August_12,_1673.txt 1 390 
santiago Solar_eclipse_of_August_12,_1673.txt 1 186 
description Solar_eclipse_of_August_12,_1673.txt 1 91 
azores Solar_eclipse_of_August_12,_1673.txt 1 370 
southern Solar_eclipse_of_August_12,_1673.txt 4 112 115 118 308 
most Solar_eclipse_of_August_12,_1673.txt 1 150 
75 Solar_eclipse_of_August_12,_1673.txt 1 264 
saros Solar_eclipse_of_August_12,_1673.txt 1 160 
9:04 Solar_eclipse_of_August_12,_1673.txt 1 242 
included Solar_eclipse_of_August_12,_1673.txt 3 173 278 365 
lanka Solar_eclipse_of_August_12,_1673.txt 1 135 
a Solar_eclipse_of_August_12,_1673.txt 9 7 16 40 44 70 83 106 143 206 
maldives Solar_eclipse_of_August_12,_1673.txt 1 131 
e Solar_eclipse_of_August_12,_1673.txt 1 225 
wadai Solar_eclipse_of_August_12,_1673.txt 1 204 
controlled Solar_eclipse_of_August_12,_1673.txt 1 280 
well Solar_eclipse_of_August_12,_1673.txt 1 141 
lasted Solar_eclipse_of_August_12,_1673.txt 1 249 
km Solar_eclipse_of_August_12,_1673.txt 2 171 180 
ocean Solar_eclipse_of_August_12,_1673.txt 1 154 
portion Solar_eclipse_of_August_12,_1673.txt 1 164 
verde Solar_eclipse_of_August_12,_1673.txt 3 191 339 398 
sunset Solar_eclipse_of_August_12,_1673.txt 1 407 
greatest Solar_eclipse_of_August_12,_1673.txt 1 219 
time Solar_eclipse_of_August_12,_1673.txt 3 247 417 429 
north Solar_eclipse_of_August_12,_1673.txt 1 325 
algeris Solar_eclipse_of_August_12,_1673.txt 1 285 
the Solar_eclipse_of_August_12,_1673.txt 40 21 27 34 37 50 57 77 93 103 122 146 152 162 183 194 213 218 227 235 254 268 295 300 317 324 346 353 360 363 366 369 374 391 399 409 416 418 425 428 432 
obscuration Solar_eclipse_of_August_12,_1673.txt 5 260 277 322 332 334 
external Solar_eclipse_of_August_12,_1673.txt 1 440 
