beach Solar_eclipse_of_June_28,_1908.txt 1 117 
southwesternmost Solar_eclipse_of_June_28,_1908.txt 1 148 
june Solar_eclipse_of_June_28,_1908.txt 2 3 13 
most Solar_eclipse_of_June_28,_1908.txt 1 60 
included Solar_eclipse_of_June_28,_1908.txt 2 98 131 
america Solar_eclipse_of_June_28,_1908.txt 1 103 
totally Solar_eclipse_of_June_28,_1908.txt 1 30 
a Solar_eclipse_of_June_28,_1908.txt 8 16 40 80 84 99 105 178 192 
annulus Solar_eclipse_of_June_28,_1908.txt 1 73 
daytona Solar_eclipse_of_June_28,_1908.txt 1 116 
light Solar_eclipse_of_June_28,_1908.txt 1 64 
orbit Solar_eclipse_of_June_28,_1908.txt 1 200 
sunset Solar_eclipse_of_June_28,_1908.txt 1 166 
bamako Solar_eclipse_of_June_28,_1908.txt 1 139 
the Solar_eclipse_of_June_28,_1908.txt 16 21 27 34 37 50 57 62 67 87 95 120 125 134 141 147 198 
