eclipses Solar_eclipse_of_April_28,_1911.txt 4 118 121 132 185 
minutes Solar_eclipse_of_April_28,_1911.txt 1 215 
and Solar_eclipse_of_April_28,_1911.txt 3 26 101 138 
30 Solar_eclipse_of_April_28,_1911.txt 1 220 
ad Solar_eclipse_of_April_28,_1911.txt 1 181 
viewer Solar_eclipse_of_April_28,_1911.txt 1 41 
is Solar_eclipse_of_April_28,_1911.txt 2 54 154 
it Solar_eclipse_of_April_28,_1911.txt 2 153 182 
surface Solar_eclipse_of_April_28,_1911.txt 1 75 
duration Solar_eclipse_of_April_28,_1911.txt 1 210 
as Solar_eclipse_of_April_28,_1911.txt 1 200 
at Solar_eclipse_of_April_28,_1911.txt 2 143 197 
in Solar_eclipse_of_April_28,_1911.txt 2 69 126 
march Solar_eclipse_of_April_28,_1911.txt 1 205 
contents Solar_eclipse_of_April_28,_1911.txt 1 116 
containing Solar_eclipse_of_April_28,_1911.txt 1 167 
tip Solar_eclipse_of_April_28,_1911.txt 1 95 
1910-1913 Solar_eclipse_of_April_28,_1911.txt 1 122 
40 Solar_eclipse_of_April_28,_1911.txt 1 216 
member Solar_eclipse_of_April_28,_1911.txt 2 125 198 
also Solar_eclipse_of_April_28,_1911.txt 1 223 
5 Solar_eclipse_of_April_28,_1911.txt 1 214 
events Solar_eclipse_of_April_28,_1911.txt 1 169 
may Solar_eclipse_of_April_28,_1911.txt 1 187 
saros Solar_eclipse_of_April_28,_1911.txt 2 150 158 
date Solar_eclipse_of_April_28,_1911.txt 1 108 
totally Solar_eclipse_of_April_28,_1911.txt 1 30 
cycle Solar_eclipse_of_April_28,_1911.txt 1 159 
a Solar_eclipse_of_April_28,_1911.txt 10 7 16 40 44 70 83 127 141 155 201 
tonga Solar_eclipse_of_April_28,_1911.txt 1 98 
narrow Solar_eclipse_of_April_28,_1911.txt 1 71 
orbit Solar_eclipse_of_April_28,_1911.txt 1 149 
or Solar_eclipse_of_April_28,_1911.txt 1 31 
the Solar_eclipse_of_April_28,_1911.txt 12 21 27 34 37 50 57 77 111 147 170 194 208 
