partly Solar_eclipse_of_April_19,_1958.txt 1 32 
2120 Solar_eclipse_of_April_19,_1958.txt 1 256 
apparent Solar_eclipse_of_April_19,_1958.txt 1 52 
occurred Solar_eclipse_of_April_19,_1958.txt 1 11 
maldives Solar_eclipse_of_April_19,_1958.txt 1 98 
solar Solar_eclipse_of_April_19,_1958.txt 10 0 9 17 46 133 154 164 176 205 232 
obscuring Solar_eclipse_of_April_19,_1958.txt 1 33 
july Solar_eclipse_of_April_19,_1958.txt 2 243 254 
than Solar_eclipse_of_April_19,_1958.txt 1 56 
11 Solar_eclipse_of_April_19,_1958.txt 2 218 251 
wide Solar_eclipse_of_April_19,_1958.txt 1 92 
look Solar_eclipse_of_April_19,_1958.txt 1 70 
16 Solar_eclipse_of_April_19,_1958.txt 1 222 
19 Solar_eclipse_of_April_19,_1958.txt 3 4 14 266 
18 Solar_eclipse_of_April_19,_1958.txt 2 215 226 
eclipse Solar_eclipse_of_April_19,_1958.txt 8 1 10 18 47 77 82 134 199 
1387.94 Solar_eclipse_of_April_19,_1958.txt 1 295 
eclipses Solar_eclipse_of_April_19,_1958.txt 9 155 162 165 177 233 237 248 264 274 
31 Solar_eclipse_of_April_19,_1958.txt 1 244 
and Solar_eclipse_of_April_19,_1958.txt 7 26 65 112 126 183 217 246 
viewer Solar_eclipse_of_April_19,_1958.txt 1 41 
is Solar_eclipse_of_April_19,_1958.txt 3 54 144 200 
it Solar_eclipse_of_April_19,_1958.txt 2 128 143 
an Solar_eclipse_of_April_19,_1958.txt 4 7 44 72 75 
as Solar_eclipse_of_April_19,_1958.txt 1 79 
at Solar_eclipse_of_April_19,_1958.txt 1 188 
in Solar_eclipse_of_April_19,_1958.txt 5 96 156 171 276 282 
north Solar_eclipse_of_April_19,_1958.txt 1 110 
occur Solar_eclipse_of_April_19,_1958.txt 1 275 
contents Solar_eclipse_of_April_19,_1958.txt 1 160 
hong Solar_eclipse_of_April_19,_1958.txt 1 121 
that Solar_eclipse_of_April_19,_1958.txt 1 290 
when Solar_eclipse_of_April_19,_1958.txt 2 20 49 
cambodia Solar_eclipse_of_April_19,_1958.txt 1 108 
member Solar_eclipse_of_April_19,_1958.txt 1 170 
causing Solar_eclipse_of_April_19,_1958.txt 1 66 
5 Solar_eclipse_of_April_19,_1958.txt 1 272 
3.8 Solar_eclipse_of_April_19,_1958.txt 1 293 
fourth Solar_eclipse_of_April_19,_1958.txt 1 131 
1561 Solar_eclipse_of_April_19,_1958.txt 1 252 
events Solar_eclipse_of_April_19,_1958.txt 1 212 
may Solar_eclipse_of_April_19,_1958.txt 1 221 
june Solar_eclipse_of_April_19,_1958.txt 2 225 239 
most Solar_eclipse_of_April_19,_1958.txt 1 60 
73 Solar_eclipse_of_April_19,_1958.txt 1 211 
saros Solar_eclipse_of_April_19,_1958.txt 2 195 206 
date Solar_eclipse_of_April_19,_1958.txt 1 281 
totally Solar_eclipse_of_April_19,_1958.txt 1 30 
moons Solar_eclipse_of_April_19,_1958.txt 2 51 193 
cycle Solar_eclipse_of_April_19,_1958.txt 1 207 
a Solar_eclipse_of_April_19,_1958.txt 8 16 40 80 84 147 172 186 201 
annulus Solar_eclipse_of_April_19,_1958.txt 1 73 
nicobar Solar_eclipse_of_April_19,_1958.txt 1 99 
light Solar_eclipse_of_April_19,_1958.txt 1 64 
orbit Solar_eclipse_of_April_19,_1958.txt 1 194 
vietnam Solar_eclipse_of_April_19,_1958.txt 3 111 114 118 
metonic Solar_eclipse_of_April_19,_1958.txt 2 257 261 
octon Solar_eclipse_of_April_19,_1958.txt 1 285 
the Solar_eclipse_of_April_19,_1958.txt 18 21 27 34 37 50 57 62 67 87 97 104 130 192 204 228 260 278 284 
lasting Solar_eclipse_of_April_19,_1958.txt 1 270 
19571960 Solar_eclipse_of_April_19,_1958.txt 1 167 
