18 Solar_eclipse_of_June_13,_2132.txt 1 140 
eclipse Solar_eclipse_of_June_13,_2132.txt 12 1 10 19 48 81 108 112 155 192 216 227 262 
maximum Solar_eclipse_of_June_13,_2132.txt 1 96 
will Solar_eclipse_of_June_13,_2132.txt 4 11 103 221 242 
column Solar_eclipse_of_June_13,_2132.txt 1 201 
eclipses Solar_eclipse_of_June_13,_2132.txt 3 125 163 174 
minutes Solar_eclipse_of_June_13,_2132.txt 4 99 121 234 250 
and Solar_eclipse_of_June_13,_2132.txt 4 27 172 206 266 
links Solar_eclipse_of_June_13,_2132.txt 1 271 
viewer Solar_eclipse_of_June_13,_2132.txt 1 42 
december Solar_eclipse_of_June_13,_2132.txt 2 169 176 
is Solar_eclipse_of_June_13,_2132.txt 3 55 131 258 
thus Solar_eclipse_of_June_13,_2132.txt 1 207 
it Solar_eclipse_of_June_13,_2132.txt 3 102 130 160 
surface Solar_eclipse_of_June_13,_2132.txt 1 76 
as Solar_eclipse_of_June_13,_2132.txt 1 189 
at Solar_eclipse_of_June_13,_2132.txt 3 186 232 248 
in Solar_eclipse_of_June_13,_2132.txt 3 70 198 209 
1825 Solar_eclipse_of_June_13,_2132.txt 1 171 
occur Solar_eclipse_of_June_13,_2132.txt 2 12 208 
contents Solar_eclipse_of_June_13,_2132.txt 1 91 
containing Solar_eclipse_of_June_13,_2132.txt 1 146 
2132 Solar_eclipse_of_June_13,_2132.txt 3 5 16 220 
when Solar_eclipse_of_June_13,_2132.txt 2 21 50 
same Solar_eclipse_of_June_13,_2132.txt 2 200 211 
member Solar_eclipse_of_June_13,_2132.txt 2 187 246 
which Solar_eclipse_of_June_13,_2132.txt 1 117 
9 Solar_eclipse_of_June_13,_2132.txt 1 170 
events Solar_eclipse_of_June_13,_2132.txt 1 148 
exeligmos Solar_eclipse_of_June_13,_2132.txt 1 204 
may Solar_eclipse_of_June_13,_2132.txt 1 157 
june Solar_eclipse_of_June_13,_2132.txt 3 3 14 218 
saros Solar_eclipse_of_June_13,_2132.txt 2 127 135 
71 Solar_eclipse_of_June_13,_2132.txt 2 147 188 
totally Solar_eclipse_of_June_13,_2132.txt 1 31 
a Solar_eclipse_of_June_13,_2132.txt 9 7 17 41 45 71 84 95 132 190 
lasted Solar_eclipse_of_June_13,_2132.txt 1 118 
the Solar_eclipse_of_June_13,_2132.txt 17 22 28 35 38 51 58 78 105 110 149 183 199 210 214 223 237 259 
geographic Solar_eclipse_of_June_13,_2132.txt 1 212 
external Solar_eclipse_of_June_13,_2132.txt 1 270 
