and Solar_eclipse_of_September_8,_1885.txt 1 26 
diameter Solar_eclipse_of_September_8,_1885.txt 1 53 
all Solar_eclipse_of_September_8,_1885.txt 1 60 
partial Solar_eclipse_of_September_8,_1885.txt 1 78 
september Solar_eclipse_of_September_8,_1885.txt 2 3 13 
wikipedia Solar_eclipse_of_September_8,_1885.txt 1 6 
image Solar_eclipse_of_September_8,_1885.txt 1 35 
direct Solar_eclipse_of_September_8,_1885.txt 1 61 
surface Solar_eclipse_of_September_8,_1885.txt 1 75 
visible Solar_eclipse_of_September_8,_1885.txt 1 81 
suns Solar_eclipse_of_September_8,_1885.txt 1 58 
in Solar_eclipse_of_September_8,_1885.txt 1 69 
earth Solar_eclipse_of_September_8,_1885.txt 2 25 43 
total Solar_eclipse_of_September_8,_1885.txt 2 8 45 
passes Solar_eclipse_of_September_8,_1885.txt 1 23 
kilometres Solar_eclipse_of_September_8,_1885.txt 1 88 
darkness Solar_eclipse_of_September_8,_1885.txt 1 66 
for Solar_eclipse_of_September_8,_1885.txt 1 39 
sun Solar_eclipse_of_September_8,_1885.txt 2 28 38 
when Solar_eclipse_of_September_8,_1885.txt 2 20 49 
sunlight Solar_eclipse_of_September_8,_1885.txt 1 62 
moon Solar_eclipse_of_September_8,_1885.txt 1 22 
viewer Solar_eclipse_of_September_8,_1885.txt 1 41 
observations Solar_eclipse_of_September_8,_1885.txt 1 97 
totality Solar_eclipse_of_September_8,_1885.txt 2 67 93 
between Solar_eclipse_of_September_8,_1885.txt 1 24 
8 Solar_eclipse_of_September_8,_1885.txt 2 4 14 
hidden Solar_eclipse_of_September_8,_1885.txt 1 102 
thousands Solar_eclipse_of_September_8,_1885.txt 1 86 
occurs Solar_eclipse_of_September_8,_1885.txt 3 19 48 68 
day Solar_eclipse_of_September_8,_1885.txt 1 64 
wide Solar_eclipse_of_September_8,_1885.txt 1 89 
zealand Solar_eclipse_of_September_8,_1885.txt 1 96 
over Solar_eclipse_of_September_8,_1885.txt 1 82 
apparent Solar_eclipse_of_September_8,_1885.txt 1 52 
partly Solar_eclipse_of_September_8,_1885.txt 1 32 
references Solar_eclipse_of_September_8,_1885.txt 1 99 
thereby Solar_eclipse_of_September_8,_1885.txt 1 29 
earths Solar_eclipse_of_September_8,_1885.txt 1 74 
with Solar_eclipse_of_September_8,_1885.txt 1 76 
moons Solar_eclipse_of_September_8,_1885.txt 1 51 
categories Solar_eclipse_of_September_8,_1885.txt 2 101 103 
occurred Solar_eclipse_of_September_8,_1885.txt 1 11 
turning Solar_eclipse_of_September_8,_1885.txt 1 63 
solar Solar_eclipse_of_September_8,_1885.txt 5 0 9 17 46 79 
new Solar_eclipse_of_September_8,_1885.txt 1 95 
obscuring Solar_eclipse_of_September_8,_1885.txt 1 33 
1885 Solar_eclipse_of_September_8,_1885.txt 2 5 15 
totally Solar_eclipse_of_September_8,_1885.txt 1 30 
than Solar_eclipse_of_September_8,_1885.txt 1 56 
is Solar_eclipse_of_September_8,_1885.txt 1 54 
a Solar_eclipse_of_September_8,_1885.txt 6 7 16 40 44 70 83 
on Solar_eclipse_of_September_8,_1885.txt 2 12 42 
surrounding Solar_eclipse_of_September_8,_1885.txt 1 84 
edit Solar_eclipse_of_September_8,_1885.txt 2 98 100 
of Solar_eclipse_of_September_8,_1885.txt 4 2 36 87 92 
into Solar_eclipse_of_September_8,_1885.txt 1 65 
larger Solar_eclipse_of_September_8,_1885.txt 1 55 
eclipse Solar_eclipse_of_September_8,_1885.txt 5 1 10 18 47 80 
across Solar_eclipse_of_September_8,_1885.txt 1 73 
path Solar_eclipse_of_September_8,_1885.txt 2 72 91 
crossed Solar_eclipse_of_September_8,_1885.txt 1 94 
blocking Solar_eclipse_of_September_8,_1885.txt 1 59 
region Solar_eclipse_of_September_8,_1885.txt 1 85 
the Solar_eclipse_of_September_8,_1885.txt 8 21 27 34 37 50 57 77 90 
narrow Solar_eclipse_of_September_8,_1885.txt 1 71 
or Solar_eclipse_of_September_8,_1885.txt 1 31 
