external Solar_eclipse_of_May_30,_1965.txt 1 288 
solar Solar_eclipse_of_May_30,_1965.txt 9 0 9 17 46 79 124 136 157 199 
obscuring Solar_eclipse_of_May_30,_1965.txt 1 33 
july Solar_eclipse_of_May_30,_1965.txt 1 164 
with Solar_eclipse_of_May_30,_1965.txt 2 76 197 
than Solar_eclipse_of_May_30,_1965.txt 1 56 
11 Solar_eclipse_of_May_30,_1965.txt 1 189 
wide Solar_eclipse_of_May_30,_1965.txt 1 89 
october Solar_eclipse_of_May_30,_1965.txt 1 202 
15 Solar_eclipse_of_May_30,_1965.txt 1 216 
14 Solar_eclipse_of_May_30,_1965.txt 2 161 212 
19 Solar_eclipse_of_May_30,_1965.txt 1 255 
18 Solar_eclipse_of_May_30,_1965.txt 1 187 
eclipse Solar_eclipse_of_May_30,_1965.txt 7 1 10 18 47 80 200 227 
polynesia Solar_eclipse_of_May_30,_1965.txt 1 114 
1387.94 Solar_eclipse_of_May_30,_1965.txt 1 284 
eclipses Solar_eclipse_of_May_30,_1965.txt 7 122 125 137 158 209 253 263 
minutes Solar_eclipse_of_May_30,_1965.txt 1 239 
region Solar_eclipse_of_May_30,_1965.txt 2 85 96 
at Solar_eclipse_of_May_30,_1965.txt 2 148 221 
and Solar_eclipse_of_May_30,_1965.txt 6 26 103 109 115 143 163 
30 Solar_eclipse_of_May_30,_1965.txt 4 4 14 119 244 
ad Solar_eclipse_of_May_30,_1965.txt 1 205 
links Solar_eclipse_of_May_30,_1965.txt 1 289 
viewer Solar_eclipse_of_May_30,_1965.txt 1 41 
is Solar_eclipse_of_May_30,_1965.txt 2 54 178 
it Solar_eclipse_of_May_30,_1965.txt 2 177 206 
surface Solar_eclipse_of_May_30,_1965.txt 1 75 
duration Solar_eclipse_of_May_30,_1965.txt 1 234 
as Solar_eclipse_of_May_30,_1965.txt 1 224 
northland Solar_eclipse_of_May_30,_1965.txt 1 95 
motu Solar_eclipse_of_May_30,_1965.txt 1 110 
in Solar_eclipse_of_May_30,_1965.txt 7 69 97 105 112 131 265 271 
march Solar_eclipse_of_May_30,_1965.txt 1 229 
occur Solar_eclipse_of_May_30,_1965.txt 1 264 
contents Solar_eclipse_of_May_30,_1965.txt 1 120 
containing Solar_eclipse_of_May_30,_1965.txt 1 191 
1964 Solar_eclipse_of_May_30,_1965.txt 2 162 166 
1965 Solar_eclipse_of_May_30,_1965.txt 2 5 15 
belong Solar_eclipse_of_May_30,_1965.txt 1 167 
when Solar_eclipse_of_May_30,_1965.txt 2 20 49 
40 Solar_eclipse_of_May_30,_1965.txt 1 240 
member Solar_eclipse_of_May_30,_1965.txt 2 130 222 
5 Solar_eclipse_of_May_30,_1965.txt 2 238 261 
9 Solar_eclipse_of_May_30,_1965.txt 1 165 
events Solar_eclipse_of_May_30,_1965.txt 1 193 
10 Solar_eclipse_of_May_30,_1965.txt 1 203 
may Solar_eclipse_of_May_30,_1965.txt 5 3 13 101 118 211 
saros Solar_eclipse_of_May_30,_1965.txt 2 174 182 
date Solar_eclipse_of_May_30,_1965.txt 1 270 
totally Solar_eclipse_of_May_30,_1965.txt 1 30 
cycle Solar_eclipse_of_May_30,_1965.txt 1 183 
zealand Solar_eclipse_of_May_30,_1965.txt 1 99 
narrow Solar_eclipse_of_May_30,_1965.txt 1 71 
orbit Solar_eclipse_of_May_30,_1965.txt 1 154 
metonic Solar_eclipse_of_May_30,_1965.txt 2 246 250 
octon Solar_eclipse_of_May_30,_1965.txt 1 274 
the Solar_eclipse_of_May_30,_1965.txt 15 21 27 34 37 50 57 77 152 169 194 218 232 249 267 273 
nearly Solar_eclipse_of_May_30,_1965.txt 1 266 
