then Paderborn,_Germany.txt 2 225 239 
return Paderborn,_Germany.txt 1 147 
matches Paderborn,_Germany.txt 1 862 
demographics Paderborn,_Germany.txt 1 430 
primary Paderborn,_Germany.txt 1 1090 
they Paderborn,_Germany.txt 1 729 
not Paderborn,_Germany.txt 1 468 
now Paderborn,_Germany.txt 1 518 
fled Paderborn,_Germany.txt 1 97 
bigger Paderborn,_Germany.txt 1 926 
kilometres Paderborn,_Germany.txt 2 385 394 
term Paderborn,_Germany.txt 1 39 
airports Paderborn,_Germany.txt 1 928 
name Paderborn,_Germany.txt 2 25 806 
edit Paderborn,_Germany.txt 23 65 369 416 418 431 487 573 635 637 640 659 715 741 868 870 989 1116 1118 1134 1137 1139 1142 1145 
university Paderborn,_Germany.txt 4 448 990 1005 1029 
warsteiner Paderborn,_Germany.txt 1 566 
sertrner Paderborn,_Germany.txt 2 245 1132 
lippstadt Paderborn,_Germany.txt 2 390 920 
concerts Paderborn,_Germany.txt 1 607 
list Paderborn,_Germany.txt 1 643 
train Paderborn,_Germany.txt 1 949 
gymnasium Paderborn,_Germany.txt 1 1076 
hosted Paderborn,_Germany.txt 1 592 
cathedral Paderborn,_Germany.txt 1 57 
85 Paderborn,_Germany.txt 1 287 
795 Paderborn,_Germany.txt 1 75 
3rd Paderborn,_Germany.txt 1 301 
bundesliga Paderborn,_Germany.txt 4 711 728 757 770 
since Paderborn,_Germany.txt 1 568 
799 Paderborn,_Germany.txt 1 93 
nominal Paderborn,_Germany.txt 1 472 
supports Paderborn,_Germany.txt 1 600 
brewery Paderborn,_Germany.txt 1 560 
philharmonie Paderborn,_Germany.txt 1 603 
attended Paderborn,_Germany.txt 1 1039 
assaults Paderborn,_Germany.txt 1 323 
approaches Paderborn,_Germany.txt 1 331 
members Paderborn,_Germany.txt 2 452 456 
crowned Paderborn,_Germany.txt 2 128 139 
20,000 Paderborn,_Germany.txt 1 1042 
training Paderborn,_Germany.txt 1 366 
retained Paderborn,_Germany.txt 1 354 
wincor Paderborn,_Germany.txt 1 521 
1981 Paderborn,_Germany.txt 1 966 
british Paderborn,_Germany.txt 4 351 459 1089 1107 
american Paderborn,_Germany.txt 2 668 684 
allied Paderborn,_Germany.txt 1 279 
place Paderborn,_Germany.txt 1 208 
castle Paderborn,_Germany.txt 1 87 
south Paderborn,_Germany.txt 2 397 899 
first Paderborn,_Germany.txt 1 253 
major Paderborn,_Germany.txt 1 345 
industrial Paderborn,_Germany.txt 2 346 546 
number Paderborn,_Germany.txt 1 1058 
one Paderborn,_Germany.txt 1 779 
reached Paderborn,_Germany.txt 2 103 730 
open Paderborn,_Germany.txt 1 596 
size Paderborn,_Germany.txt 1 474 
city Paderborn,_Germany.txt 12 13 28 218 334 413 420 428 537 612 656 706 1064 
basketball Paderborn,_Germany.txt 3 702 714 727 
district Paderborn,_Germany.txt 1 23 
top Paderborn,_Germany.txt 1 772 
system Paderborn,_Germany.txt 1 973 
