991 Solar_eclipse_of_March_25,_1857.txt 1 148 
contents Solar_eclipse_of_March_25,_1857.txt 1 113 
containing Solar_eclipse_of_March_25,_1857.txt 1 135 
began Solar_eclipse_of_March_25,_1857.txt 1 91 
when Solar_eclipse_of_March_25,_1857.txt 2 20 49 
40 Solar_eclipse_of_March_25,_1857.txt 1 184 
member Solar_eclipse_of_March_25,_1857.txt 1 166 
5 Solar_eclipse_of_March_25,_1857.txt 1 182 
events Solar_eclipse_of_March_25,_1857.txt 1 137 
may Solar_eclipse_of_March_25,_1857.txt 1 155 
saros Solar_eclipse_of_March_25,_1857.txt 2 117 126 
totally Solar_eclipse_of_March_25,_1857.txt 1 30 
cycle Solar_eclipse_of_March_25,_1857.txt 1 127 
a Solar_eclipse_of_March_25,_1857.txt 8 7 16 40 44 70 83 123 169 
ocean Solar_eclipse_of_March_25,_1857.txt 1 103 
sunset Solar_eclipse_of_March_25,_1857.txt 1 107 
the Solar_eclipse_of_March_25,_1857.txt 11 21 27 34 37 50 57 77 101 138 162 176 
